Experiment,Date,A Total,A Repeat,A %,B Total,B Repeat,B %,C Total,C Repeat,C %,DRB1 Total,DRB1 Repeat,DRB1 %,DRB345 Total,DRB345 Repeat,DRB345 %,DQB1 Total,DQB1 Repeat,DQB1 %,DQA1 Total,DQA1 Repeat,DQA1 %,DPB1 Total,DPB1 Repeat,DPB1 %,DPA1 Total,DPA1 Repeat,DPA1 %,Overall Total,Overall Repeat,Overall %
FIN052924RT-01,2024-06-06,715,6,0.84,715,0,0.0,715,6,0.84,715,0,0.0,0,0,,0,0,,0,0,,715,4,0.56,0,0,,715,16,2.24
FIN052924RT-02,2024-06-06,358,0,0.0,358,0,0.0,358,1,0.28,358,0,0.0,0,0,,0,0,,0,0,,358,4,1.12,0,0,,358,5,1.4
TOB052824RT,2024-06-06,715,12,1.68,715,5,0.7,715,4,0.56,715,1,0.14,0,0,,0,1,,0,0,,715,3,0.42,0,0,,715,26,3.64
NMD052924RT-07,2024-06-06,715,4,0.56,715,1,0.14,715,4,0.56,715,1,0.14,565,2,0.35,565,1,0.18,565,0,0.0,150,3,2.0,565,0,0.0,715,16,2.24
PAC052224DEV,2024-06-06,715,8,1.12,715,1,0.14,715,1,0.14,715,1,0.14,0,0,,0,0,,0,0,,715,4,0.56,0,0,,715,15,2.1
SBS052924RT,2024-06-06,715,6,0.84,715,0,0.0,715,4,0.56,715,1,0.14,677,0,0.0,677,0,0.0,677,0,0.0,38,0,0.0,677,0,0.0,715,11,1.54
HDS052424RT,2024-06-06,715,15,2.1,715,2,0.28,715,1,0.14,715,2,0.28,0,0,,0,0,,0,0,,715,6,0.84,0,0,,715,26,3.64
DEN053024RT,2024-06-06,710,25,3.52,710,4,0.56,710,5,0.7,710,5,0.7,0,0,,0,4,,0,0,,710,16,2.25,0,0,,710,59,8.31
NMD052924RT-05,2024-06-06,715,13,1.82,715,1,0.14,715,0,0.0,715,0,0.0,715,1,0.14,715,0,0.0,715,1,0.14,0,2,,715,1,0.14,715,19,2.66
NMD052924RT-06,2024-06-06,715,9,1.26,715,2,0.28,715,6,0.84,715,3,0.42,715,2,0.28,715,1,0.14,715,0,0.0,0,2,,715,1,0.14,715,26,3.64
PAC052924NMD-01,2024-06-06,715,2,0.28,715,0,0.0,715,0,0.0,715,2,0.28,715,0,0.0,715,0,0.0,715,0,0.0,0,3,,715,3,0.42,715,10,1.4
PAC052924NMD-02,2024-06-06,715,1,0.14,715,0,0.0,715,1,0.14,715,0,0.0,715,4,0.56,715,1,0.14,715,0,0.0,0,0,,715,0,0.0,715,7,0.98
PAC052924NMD-03,2024-06-06,715,7,0.98,715,0,0.0,715,0,0.0,715,0,0.0,715,5,0.7,715,0,0.0,715,0,0.0,0,3,,715,0,0.0,715,15,2.1
PAC052924NMD-04,2024-06-06,715,0,0.0,715,2,0.28,715,0,0.0,715,3,0.42,715,14,1.96,715,0,0.0,715,0,0.0,0,1,,715,0,0.0,715,20,2.8
PAC060324TOB,2024-06-13,358,0,0.0,358,0,0.0,358,2,0.56,358,0,0.0,0,0,,0,1,,0,0,,358,5,1.4,0,0,,358,8,2.23
SBM060424RT,2024-06-13,715,4,0.56,715,0,0.0,715,7,0.98,715,0,0.0,0,0,,0,0,,0,0,,715,3,0.42,0,0,,715,14,1.96
NMD060524RT-07,2024-06-13,358,4,1.12,358,0,0.0,358,4,1.12,358,0,0.0,226,0,0.0,226,0,0.0,226,0,0.0,132,0,0.0,226,0,0.0,358,8,2.23
PAC053124EMB,2024-06-13,715,2,0.28,715,1,0.14,715,0,0.0,715,1,0.14,0,0,,0,0,,0,0,,715,2,0.28,0,0,,715,6,0.84
OEA052324RT-02,2024-06-13,715,24,3.36,715,3,0.42,715,7,0.98,715,0,0.0,0,0,,0,2,,0,0,,715,0,0.0,0,0,,715,36,5.03
PAC052324OEA-01,2024-06-13,715,0,0.0,715,2,0.28,715,2,0.28,715,1,0.14,0,0,,0,1,,0,0,,715,4,0.56,0,0,,715,10,1.4
TSC060524RT-01,2024-06-13,715,9,1.26,715,10,1.4,715,10,1.4,715,14,1.96,0,0,,0,4,,0,0,,715,14,1.96,0,0,,715,61,8.53
TSC060524RT-02,2024-06-13,346,14,4.05,346,4,1.16,346,6,1.73,346,13,3.76,0,0,,0,2,,0,0,,346,54,15.61,0,0,,346,93,26.88
NMD060524RT-05,2024-06-13,715,11,1.54,715,2,0.28,715,2,0.28,715,1,0.14,715,3,0.42,715,0,0.0,715,0,0.0,0,2,,715,1,0.14,715,22,3.08
NMD060524RT-06,2024-06-13,715,6,0.84,715,4,0.56,715,2,0.28,715,1,0.14,715,4,0.56,715,0,0.0,715,0,0.0,0,0,,715,0,0.0,715,17,2.38
PAC060524NMD-01,2024-06-13,715,1,0.14,715,0,0.0,715,0,0.0,715,3,0.42,715,5,0.7,715,1,0.14,715,0,0.0,0,6,,715,6,0.84,715,22,3.08
PAC060524NMD-02,2024-06-13,715,0,0.0,715,0,0.0,715,0,0.0,715,3,0.42,715,5,0.7,715,0,0.0,715,0,0.0,0,6,,715,5,0.7,715,19,2.66
PAC060524NMD-03,2024-06-13,715,0,0.0,715,0,0.0,715,0,0.0,715,0,0.0,715,6,0.84,715,0,0.0,715,0,0.0,0,6,,715,0,0.0,715,12,1.68
PAC060524NMD-04,2024-06-13,715,0,0.0,715,0,0.0,715,0,0.0,715,2,0.28,715,2,0.28,715,0,0.0,715,0,0.0,0,2,,715,2,0.28,715,8,1.12
AN061324RT,2024-06-20,715,6,0.84,715,2,0.28,715,4,0.56,715,2,0.28,526,2,0.38,0,2,,0,0,,715,3,0.42,0,0,,715,21,2.94
PAC061224NMD-06,2024-06-20,358,1,0.28,358,0,0.0,358,0,0.0,358,1,0.28,352,2,0.57,348,0,0.0,348,0,0.0,10,0,0.0,348,1,0.29,358,5,1.4
PAC061024SBS,2024-06-20,715,1,0.14,715,0,0.0,715,0,0.0,715,3,0.42,472,2,0.42,472,1,0.21,472,1,0.21,243,2,0.82,472,2,0.42,715,12,1.68
PAC061224TOB,2024-06-20,715,0,0.0,715,2,0.28,715,0,0.0,715,1,0.14,0,0,,0,0,,0,0,,715,1,0.14,0,0,,715,4,0.56
KUL061224RT,2024-06-20,336,4,1.19,336,3,0.89,336,6,1.79,336,2,0.6,67,2,2.99,67,0,0.0,67,2,2.99,269,2,0.74,67,0,0.0,336,21,6.25
PAC061224SBS,2024-06-20,715,3,0.42,715,4,0.56,715,5,0.7,715,0,0.0,400,1,0.25,400,1,0.25,400,0,0.0,315,4,1.27,400,0,0.0,715,18,2.52
CYP061424RT-01,2024-06-20,715,3,0.42,715,11,1.54,715,11,1.54,715,6,0.84,0,0,,0,0,,0,0,,715,2,0.28,0,0,,715,33,4.62
OEA052324RT-03,2024-06-20,715,9,1.26,715,8,1.12,715,1,0.14,715,0,0.0,0,0,,0,0,,0,0,,715,7,0.98,0,0,,715,25,3.5
UPC061324RT-01,2024-06-20,715,11,1.54,715,6,0.84,715,1,0.14,715,3,0.42,0,0,,0,1,,0,0,,715,2,0.28,0,0,,715,24,3.36
PAC061224NMD-01,2024-06-20,715,1,0.14,715,0,0.0,715,0,0.0,715,2,0.28,715,3,0.42,715,0,0.0,715,0,0.0,0,1,,715,1,0.14,715,8,1.12
PAC061224NMD-02,2024-06-20,715,2,0.28,715,1,0.14,715,0,0.0,715,2,0.28,715,2,0.28,715,0,0.0,715,0,0.0,0,2,,715,3,0.42,715,12,1.68
PAC061224NMD-03,2024-06-20,715,0,0.0,715,0,0.0,715,0,0.0,715,2,0.28,715,3,0.42,715,1,0.14,715,1,0.14,0,0,,715,0,0.0,715,7,0.98
PAC061224NMD-04,2024-06-20,715,4,0.56,715,0,0.0,715,1,0.14,715,1,0.14,715,2,0.28,715,1,0.14,715,0,0.0,0,2,,715,0,0.0,715,11,1.54
PAC061224NMD-05,2024-06-20,715,1,0.14,715,0,0.0,715,0,0.0,715,3,0.42,715,2,0.28,715,0,0.0,715,0,0.0,0,1,,715,2,0.28,715,9,1.26
SBM061824RT,2024-06-27,713,19,2.66,713,7,0.98,713,7,0.98,713,0,0.0,12,0,0.0,0,0,,0,0,,713,1,0.14,0,0,,713,34,4.77
PAC061724TOB,2024-06-27,715,5,0.7,715,0,0.0,715,3,0.42,715,2,0.28,0,0,,0,1,,0,0,,715,3,0.42,0,0,,715,14,1.96
TOB062224RT,2024-06-27,358,0,0.0,358,0,0.0,358,9,2.51,358,0,0.0,0,0,,0,2,,0,0,,358,6,1.68,0,0,,358,17,4.75
CYP061424RT-02,2024-06-27,715,3,0.42,715,12,1.68,715,17,2.38,715,2,0.28,0,0,,0,6,,0,0,,715,4,0.56,0,0,,715,44,6.15
OEA052324RT-04,2024-06-27,708,9,1.27,706,4,0.57,710,4,0.56,706,1,0.14,0,0,,1,1,100.0,0,0,,708,9,1.27,0,0,,715,28,3.92
OEA052324RT-05,2024-06-27,715,7,0.98,715,6,0.84,715,4,0.56,715,0,0.0,0,0,,0,0,,0,0,,715,0,0.0,0,0,,715,17,2.38
OEA052324RT-06,2024-06-27,715,14,1.96,715,10,1.4,715,4,0.56,715,0,0.0,0,0,,0,0,,0,0,,715,1,0.14,0,0,,715,29,4.06
UPC061324RT-02,2024-06-27,715,3,0.42,715,1,0.14,715,17,2.38,715,2,0.28,0,0,,0,0,,0,0,,715,0,0.0,0,0,,715,23,3.22
UPC062024RT,2024-06-27,715,16,2.24,715,3,0.42,715,1,0.14,715,2,0.28,0,0,,0,0,,0,0,,715,1,0.14,0,0,,715,23,3.22
OEA052324RT-07,2024-06-27,715,13,1.82,715,5,0.7,715,11,1.54,715,0,0.0,0,0,,0,0,,0,0,,715,0,0.0,0,0,,715,29,4.06
NMD061924RT-04,2024-06-27,715,3,0.42,715,6,0.84,715,1,0.14,715,0,0.0,715,3,0.42,715,0,0.0,715,0,0.0,0,1,,715,0,0.0,715,14,1.96
NMD061924RT-05,2024-06-27,715,17,2.38,715,7,0.98,715,1,0.14,715,0,0.0,715,6,0.84,715,1,0.14,715,0,0.0,0,8,,715,3,0.42,715,43,6.01
NMD061924RT-06,2024-06-27,358,0,0.0,358,1,0.28,358,8,2.23,358,0,0.0,203,0,0.0,203,0,0.0,203,0,0.0,155,5,3.23,203,0,0.0,358,14,3.91
PAC061924NMD-01,2024-06-27,715,1,0.14,715,0,0.0,715,2,0.28,715,3,0.42,715,2,0.28,715,0,0.0,715,0,0.0,0,5,,715,2,0.28,715,15,2.1
PAC061924NMD-02,2024-06-27,715,0,0.0,715,0,0.0,715,1,0.14,715,3,0.42,715,0,0.0,715,0,0.0,715,0,0.0,0,3,,715,3,0.42,715,10,1.4
PAC061924NMD-03,2024-06-27,715,1,0.14,715,0,0.0,715,0,0.0,715,2,0.28,715,4,0.56,715,0,0.0,715,2,0.28,0,2,,715,1,0.14,715,12,1.68
TOB070124RT,2024-07-04,715,16,2.24,715,0,0.0,715,1,0.14,715,1,0.14,41,0,0.0,0,0,,0,0,,715,1,0.14,0,0,,715,19,2.66
DAT062624RT,2024-07-04,358,2,0.56,358,0,0.0,358,8,2.23,358,3,0.84,0,0,,0,1,,0,0,,358,2,0.56,0,0,,358,16,4.47
PAC062624NMD-05,2024-07-04,715,1,0.14,715,0,0.0,715,0,0.0,715,28,3.92,475,2,0.42,475,0,0.0,475,0,0.0,240,3,1.25,475,0,0.0,715,34,4.76
OEA052324RT-08,2024-07-04,715,19,2.66,715,7,0.98,715,5,0.7,715,1,0.14,0,0,,0,0,,0,0,,715,0,0.0,0,0,,715,32,4.48
OEA052324RT-09,2024-07-04,715,34,4.76,715,4,0.56,715,4,0.56,715,0,0.0,0,0,,0,1,,0,0,,715,2,0.28,0,0,,715,45,6.29
OEA052324RT-11,2024-07-04,715,9,1.26,715,3,0.42,715,2,0.28,715,2,0.28,0,0,,0,0,,0,0,,715,0,0.0,0,0,,715,16,2.24
OEA052324RT-12,2024-07-04,715,11,1.54,715,4,0.56,715,4,0.56,715,0,0.0,0,0,,0,0,,0,0,,715,0,0.0,0,0,,715,19,2.66
PAC062224TSC,2024-07-04,704,2,0.28,704,0,0.0,704,2,0.28,704,7,0.99,0,0,,0,5,,0,0,,704,6,0.85,0,0,,704,22,3.12
PAC062424SBS,2024-07-04,715,0,0.0,715,0,0.0,715,0,0.0,715,3,0.42,715,1,0.14,715,1,0.14,670,2,0.3,45,2,4.44,670,0,0.0,715,9,1.26
PAC062624NMD-01,2024-07-04,715,2,0.28,715,0,0.0,715,1,0.14,715,14,1.96,715,3,0.42,715,0,0.0,715,0,0.0,0,3,,715,3,0.42,715,26,3.64
PAC062624NMD-02,2024-07-04,715,1,0.14,715,0,0.0,715,0,0.0,715,20,2.8,715,5,0.7,715,1,0.14,715,0,0.0,0,4,,715,1,0.14,715,32,4.48
PAC062624NMD-03,2024-07-04,715,1,0.14,715,1,0.14,715,0,0.0,715,21,2.94,715,11,1.54,715,0,0.0,715,1,0.14,0,4,,715,0,0.0,715,39,5.45
PAC062624NMD-04,2024-07-04,715,4,0.56,715,0,0.0,715,2,0.28,715,0,0.0,715,1,0.14,715,0,0.0,715,0,0.0,0,5,,715,9,1.26,715,21,2.94
OEA052324RT-10,2024-07-04,707,11,1.56,707,5,0.71,707,5,0.71,707,1,0.14,0,0,,0,0,,0,0,,707,2,0.28,0,0,,707,24,3.39
OEA052324RT-13,2024-07-04,715,10,1.4,715,2,0.28,715,7,0.98,715,0,0.0,0,0,,0,0,,0,0,,715,1,0.14,0,0,,715,20,2.8
OEA052324RT-14,2024-07-04,715,21,2.94,715,6,0.84,715,5,0.7,715,0,0.0,0,0,,0,1,,0,0,,715,1,0.14,0,0,,715,34,4.76
TOB070824RT,2024-07-11,715,1,0.14,715,1,0.14,715,2,0.28,715,1,0.14,29,0,0.0,7,3,42.86,7,0,0.0,708,6,0.85,7,0,0.0,715,14,1.96
NMD070324RT-04,2024-07-11,358,1,0.28,358,6,1.68,358,2,0.56,358,1,0.28,28,0,0.0,28,0,0.0,28,0,0.0,330,3,0.91,28,0,0.0,358,13,3.63
DAT070124RT,2024-07-11,715,29,4.06,715,5,0.7,715,4,0.56,715,3,0.42,32,0,0.0,32,0,0.0,32,0,0.0,683,1,0.15,32,0,0.0,715,42,5.87
OEA052324RT-19,2024-07-11,715,12,1.68,715,4,0.56,715,5,0.7,715,0,0.0,0,0,,0,0,,0,0,,715,7,0.98,0,0,,715,28,3.92
OEA052324RT-20,2024-07-11,715,21,2.94,715,4,0.56,715,3,0.42,715,0,0.0,0,0,,0,1,,0,0,,715,13,1.82,0,0,,715,42,5.87
OEA052324RT-15,2024-07-11,715,14,1.96,715,6,0.84,715,1,0.14,715,2,0.28,0,0,,0,1,,0,0,,715,2,0.28,0,0,,715,26,3.64
OEA052324RT-16,2024-07-11,715,13,1.82,715,9,1.26,715,4,0.56,715,0,0.0,0,0,,0,0,,0,0,,715,3,0.42,0,0,,715,29,4.06
OEA052324RT-17,2024-07-11,715,7,0.98,715,2,0.28,715,1,0.14,715,2,0.28,0,0,,0,0,,0,0,,715,4,0.56,0,0,,715,16,2.24
OEA052324RT-18,2024-07-11,715,5,0.7,715,4,0.56,715,4,0.56,715,1,0.14,0,0,,0,0,,0,0,,715,7,0.98,0,0,,715,21,2.94
NMD070324RT-01,2024-07-11,715,6,0.84,715,2,0.28,715,3,0.42,715,1,0.14,715,2,0.28,715,2,0.28,715,1,0.14,0,4,,715,0,0.0,715,21,2.94
NMD070324RT-02,2024-07-11,715,4,0.56,715,5,0.7,715,30,4.2,715,0,0.0,715,3,0.42,715,0,0.0,715,0,0.0,0,1,,715,2,0.28,715,45,6.29
NMD070324RT-03,2024-07-11,715,9,1.26,715,2,0.28,715,0,0.0,715,0,0.0,715,2,0.28,715,0,0.0,715,0,0.0,0,0,,715,0,0.0,715,13,1.82
PAC070924ARC-01,2024-07-18,715,11,1.54,715,3,0.42,715,1,0.14,715,0,0.0,28,0,0.0,0,2,,0,0,,715,2,0.28,0,0,,715,19,2.66
ARC070924RT-02,2024-07-18,715,15,2.1,715,6,0.84,715,5,0.7,715,5,0.7,0,0,,0,0,,0,0,,715,3,0.42,0,0,,715,34,4.76
ARC070924RT-03,2024-07-18,715,19,2.66,715,6,0.84,715,3,0.42,715,1,0.14,0,0,,0,2,,0,0,,715,0,0.0,0,0,,715,31,4.34
ARC070924RT-05,2024-07-18,358,4,1.12,358,1,0.28,358,13,3.63,358,0,0.0,0,0,,0,1,,0,0,,358,2,0.56,0,0,,358,21,5.87
NMD071024RT-04,2024-07-18,358,6,1.68,358,0,0.0,358,1,0.28,358,1,0.28,29,0,0.0,29,6,20.69,29,0,0.0,329,2,0.61,29,0,0.0,358,16,4.47
PAC070924ARC-04,2024-07-18,715,15,2.1,715,4,0.56,715,0,0.0,715,4,0.56,0,0,,0,0,,0,0,,715,3,0.42,0,0,,715,26,3.64
SBS071124RT,2024-07-18,715,11,1.54,715,2,0.28,715,3,0.42,715,1,0.14,504,3,0.6,504,0,0.0,504,0,0.0,211,3,1.42,504,3,0.6,715,26,3.64
CZC070524RT,2024-07-18,709,21,2.96,709,3,0.42,709,2,0.28,709,1,0.14,15,0,0.0,15,1,6.67,15,0,0.0,694,4,0.58,15,0,0.0,709,32,4.51
PAC052324OEA-21,2024-07-18,358,0,0.0,358,0,0.0,358,1,0.28,358,55,15.36,0,0,,0,0,,0,0,,358,3,0.84,0,0,,358,59,16.48
NMD071024RT-03,2024-07-18,715,10,1.4,715,1,0.14,715,1,0.14,715,1,0.14,715,1,0.14,715,1,0.14,715,0,0.0,0,0,,715,1,0.14,715,16,2.24
PAC071024NMD-01,2024-07-18,715,1,0.14,715,0,0.0,715,0,0.0,715,4,0.56,715,9,1.26,715,1,0.14,715,2,0.28,0,3,,715,0,0.0,715,20,2.8
PAC071024NMD-02,2024-07-18,715,1,0.14,715,0,0.0,715,0,0.0,715,3,0.42,715,3,0.42,715,1,0.14,715,0,0.0,0,2,,715,0,0.0,715,10,1.4
DEV071224RT,2024-07-25,715,11,1.54,715,2,0.28,715,0,0.0,715,0,0.0,18,0,0.0,18,0,0.0,18,0,0.0,697,5,0.72,18,0,0.0,715,18,2.52
GOL071924RT,2024-07-25,715,3,0.42,715,8,1.12,715,3,0.42,715,0,0.0,641,0,0.0,41,0,0.0,41,0,0.0,674,4,0.59,41,0,0.0,715,18,2.52
NMD071724RT-04,2024-07-25,358,1,0.28,358,0,0.0,358,7,1.96,358,0,0.0,29,0,0.0,29,0,0.0,29,0,0.0,329,3,0.91,29,0,0.0,358,11,3.07
RNR071724RT,2024-07-25,715,7,0.98,715,5,0.7,715,4,0.56,715,2,0.28,41,0,0.0,41,1,2.44,41,0,0.0,674,1,0.15,41,0,0.0,715,20,2.8
VIE071924RT,2024-07-25,619,48,7.75,620,21,3.39,619,1,0.16,619,1,0.16,46,0,0.0,46,0,0.0,46,0,0.0,573,5,0.87,46,0,0.0,620,76,12.26
TOB072024RT,2024-07-25,715,4,0.56,715,5,0.7,715,1,0.14,715,2,0.28,0,0,,0,0,,0,0,,715,8,1.12,0,0,,715,20,2.8
TOB071324RT,2024-07-25,715,11,1.54,715,2,0.28,715,2,0.28,715,1,0.14,0,0,,0,0,,0,0,,715,6,0.84,0,0,,715,22,3.08
NMD071724RT-01,2024-07-25,715,16,2.24,715,1,0.14,715,1,0.14,715,2,0.28,715,0,0.0,715,0,0.0,715,0,0.0,0,5,,715,3,0.42,715,28,3.92
NMD071724RT-02,2024-07-25,715,17,2.38,715,2,0.28,715,4,0.56,715,1,0.14,715,5,0.7,715,0,0.0,715,0,0.0,0,5,,715,0,0.0,715,34,4.76
NMD071724RT-03,2024-07-25,715,14,1.96,715,4,0.56,715,0,0.0,715,0,0.0,715,0,0.0,715,0,0.0,715,1,0.14,0,5,,715,0,0.0,715,24,3.36
AN072524RT,2024-08-01,715,5,0.7,715,1,0.14,715,2,0.28,715,2,0.28,541,2,0.37,0,0,,0,0,,715,0,0.0,0,0,,715,12,1.68
NMD072424RT-02,2024-08-01,715,6,0.84,715,2,0.28,715,4,0.56,715,0,0.0,413,1,0.24,413,0,0.0,413,0,0.0,302,3,0.99,413,1,0.24,715,17,2.38
TOB072624RT,2024-08-01,358,2,0.56,358,0,0.0,358,1,0.28,358,1,0.28,0,0,,0,0,,0,0,,358,1,0.28,0,0,,358,5,1.4
IRB072424RT,2024-08-01,29,1,3.45,329,0,0.0,29,0,0.0,29,0,0.0,0,0,,0,0,,0,0,,29,0,0.0,0,0,,329,1,0.3
NMD072424RT-01,2024-08-01,715,6,0.84,715,2,0.28,715,9,1.26,715,2,0.28,715,0,0.0,715,0,0.0,715,1,0.14,0,4,,715,0,0.0,715,24,3.36
SBS072224RT,2024-08-01,358,1,0.28,358,1,0.28,358,0,0.0,358,0,0.0,358,0,0.0,358,1,0.28,358,0,0.0,0,2,,358,0,0.0,358,5,1.4
CRB071924RT,2024-08-01,262,0,0.0,268,0,0.0,262,0,0.0,262,1,0.38,0,0,,0,0,,0,0,,262,0,0.0,0,0,,268,1,0.37
DAT080224RT,2024-08-08,715,5,0.7,715,0,0.0,715,5,0.7,715,0,0.0,22,0,0.0,9,1,11.11,9,0,0.0,706,12,1.7,9,0,0.0,715,23,3.22
NMD073124RT-02,2024-08-08,715,3,0.42,715,0,0.0,715,2,0.28,715,1,0.14,382,0,0.0,382,1,0.26,382,0,0.0,333,2,0.6,382,2,0.52,715,11,1.54
SBS080524RT,2024-08-08,358,0,0.0,358,0,0.0,358,5,1.4,358,0,0.0,184,0,0.0,184,0,0.0,173,0,0.0,185,6,3.24,173,1,0.58,358,12,3.35
TOB080224RT,2024-08-08,715,7,0.98,715,6,0.84,715,2,0.28,715,16,2.24,0,0,,0,0,,0,0,,715,3,0.42,0,0,,715,34,4.76
PAC073124NMD-01,2024-08-08,715,0,0.0,715,0,0.0,715,0,0.0,715,1,0.14,715,6,0.84,715,1,0.14,715,0,0.0,0,5,,715,0,0.0,715,13,1.82
PAC080724AN,2024-08-15,715,0,0.0,715,1,0.14,715,1,0.14,715,0,0.0,452,6,1.33,0,1,,0,0,,715,5,0.7,0,0,,715,14,1.96
PAC080724NMD-02,2024-08-15,714,5,0.7,714,0,0.0,714,4,0.56,714,3,0.42,517,4,0.77,422,0,0.0,422,0,0.0,292,4,1.37,422,0,0.0,714,20,2.8
CYP080824RT,2024-08-15,715,2,0.28,715,7,0.98,715,5,0.7,715,0,0.0,14,0,0.0,14,4,28.57,14,0,0.0,701,5,0.71,14,0,0.0,715,23,3.22
RNR080624RT-03,2024-08-15,711,9,1.27,711,5,0.7,711,2,0.28,711,1,0.14,61,0,0.0,61,0,0.0,61,0,0.0,650,2,0.31,61,0,0.0,711,19,2.67
TOB081224RT,2024-08-15,715,8,1.12,715,5,0.7,715,8,1.12,715,0,0.0,0,0,,0,0,,0,0,,715,15,2.1,0,0,,715,36,5.03
PAC080724NMD-01,2024-08-15,715,1,0.14,715,0,0.0,715,1,0.14,715,0,0.0,715,1,0.14,715,0,0.0,715,0,0.0,0,1,,715,0,0.0,715,4,0.56
RNR080624RT-01,2024-08-15,715,6,0.84,715,1,0.14,715,5,0.7,715,1,0.14,61,0,0.0,61,5,8.2,61,0,0.0,654,2,0.31,61,0,0.0,715,20,2.8
RNR080624RT-02,2024-08-15,715,1,0.14,715,4,0.56,715,4,0.56,715,0,0.0,61,0,0.0,61,1,1.64,61,0,0.0,654,0,0.0,61,0,0.0,715,10,1.4
PAC081224DAT,2024-08-22,314,0,0.0,314,0,0.0,314,1,0.32,314,1,0.32,17,0,0.0,17,0,0.0,17,0,0.0,297,1,0.34,17,0,0.0,314,3,0.96
PAC081424NMD,2024-08-22,715,1,0.14,715,0,0.0,715,1,0.14,715,2,0.28,670,2,0.3,670,0,0.0,670,1,0.15,45,2,4.44,670,0,0.0,715,9,1.26
EMB081624RT,2024-08-22,715,6,0.84,715,1,0.14,715,5,0.7,715,2,0.28,0,0,,0,1,,0,0,,715,3,0.42,0,0,,715,18,2.52
PAC082124FIN-02,2024-08-29,713,0,0.0,713,0,0.0,713,0,0.0,713,0,0.0,5,0,0.0,0,0,,0,0,,713,2,0.28,0,0,,713,2,0.28
PAC082124FIN-01,2024-08-29,715,0,0.0,715,0,0.0,715,0,0.0,715,0,0.0,0,0,,0,0,,0,0,,715,0,0.0,0,0,,715,0,0.0
PAC082124DAT,2024-08-29,715,1,0.14,715,0,0.0,715,1,0.14,715,7,0.98,0,0,,0,1,,0,0,,715,11,1.54,0,0,,715,21,2.94
PAC082124NMD,2024-08-29,715,0,0.0,715,0,0.0,715,0,0.0,715,2,0.28,670,4,0.6,670,0,0.0,670,0,0.0,45,1,2.22,670,2,0.3,715,9,1.26
PAC082324DAT,2024-08-29,715,1,0.14,715,0,0.0,715,1,0.14,715,0,0.0,0,0,,0,0,,0,0,,715,14,1.96,0,0,,715,16,2.24
PAC082624DAT-01,2024-09-05,711,2,0.28,711,0,0.0,711,0,0.0,711,3,0.42,10,0,0.0,0,0,,0,0,,711,6,0.84,0,0,,711,11,1.55
PAC082824NMD-02,2024-09-05,358,0,0.0,358,0,0.0,358,3,0.84,358,5,1.4,136,1,0.74,136,0,0.0,136,0,0.0,222,8,3.6,136,0,0.0,358,17,4.75
PAC082624DAT-02,2024-09-05,715,1,0.14,715,0,0.0,715,0,0.0,715,4,0.56,0,0,,0,0,,0,0,,715,6,0.84,0,0,,715,11,1.54
PAC082924TOB,2024-09-05,715,0,0.0,715,0,0.0,715,0,0.0,715,3,0.42,0,0,,0,0,,0,0,,715,4,0.56,0,0,,715,7,0.98
PAC082824HDS-01,2024-09-05,715,2,0.28,715,0,0.0,715,3,0.42,715,1,0.14,0,0,,0,1,,0,0,,715,4,0.56,0,0,,715,11,1.54
PAC082824HDS-02,2024-09-05,715,3,0.42,715,1,0.14,715,0,0.0,715,1,0.14,0,0,,0,0,,0,0,,715,4,0.56,0,0,,715,9,1.26
PAC082824NMD-01,2024-09-05,715,0,0.0,715,0,0.0,715,0,0.0,715,1,0.14,715,3,0.42,715,0,0.0,715,1,0.14,0,7,,715,1,0.14,715,13,1.82
DAT090624RT,2024-09-12,715,11,1.54,715,3,0.42,715,7,0.98,715,0,0.0,28,0,0.0,4,0,0.0,0,0,,715,7,0.98,0,0,,715,28,3.92
DAT090424RT,2024-09-12,715,12,1.68,715,1,0.14,715,10,1.4,715,5,0.7,0,0,,0,0,,0,0,,715,6,0.84,0,0,,715,34,4.76
PAC083024EMB,2024-09-12,714,1,0.14,714,0,0.0,714,2,0.28,714,1,0.14,0,0,,0,0,,0,0,,714,23,3.22,0,0,,714,27,3.78
PAC083024SBS,2024-09-12,714,0,0.0,715,0,0.0,714,0,0.0,714,1,0.14,658,5,0.76,658,1,0.15,658,1,0.15,56,11,19.64,658,0,0.0,715,19,2.66
PAC090424NMD-02,2024-09-12,715,3,0.42,715,1,0.14,715,4,0.56,715,0,0.0,443,2,0.45,443,0,0.0,443,0,0.0,272,9,3.31,443,0,0.0,715,19,2.66
HDS082824RT-05,2024-09-12,715,9,1.26,715,2,0.28,715,3,0.42,715,0,0.0,0,0,,0,2,,0,0,,715,6,0.84,0,0,,715,22,3.08
HDS082824RT-06,2024-09-12,715,2,0.28,715,4,0.56,715,3,0.42,715,1,0.14,0,0,,0,0,,0,0,,715,1,0.14,0,0,,715,11,1.54
PAC082824HDS-03,2024-09-12,715,2,0.28,715,1,0.14,715,0,0.0,715,1,0.14,0,0,,0,0,,0,0,,715,2,0.28,0,0,,715,6,0.84
PAC082824HDS-04,2024-09-12,715,4,0.56,715,2,0.28,715,0,0.0,715,2,0.28,0,0,,0,2,,0,0,,715,4,0.56,0,0,,715,14,1.96
